tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1971-2010,Paris,Clay,32,A,1971-05-01,1,100025,NA,NA,Barry Phillips Moore,R,173,AUS,33.8097193703,199999,NA,NA,U Unknown,U,NA,UNK,NA,6-2 6-3,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2010,Paris,Clay,32,A,1971-05-01,2,100199,NA,NA,Patrice Dominguez,L,173,FRA,21.2977412731,109812,NA,NA,Jan Leschly,L,NA,DEN,30.6338124572,1-6 6-1 6-3,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2010,Paris,Clay,32,A,1971-05-01,3,100160,NA,NA,Georges Goven,R,173,FRA,23.0116358658,109879,NA,NA,Jose Luis Arillla,R,NA,ESP,NA,6-2 6-1,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2010,Paris,Clay,32,A,1971-05-01,4,109746,NA,NA,Michele Leclercq,R,NA,FRA,NA,100127,NA,NA,Tom Gorman,R,180,USA,24.3641341547,6-1 6-4,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2010,Paris,Clay,32,A,1971-05-01,5,107309,NA,NA,Jean Loup Rouyer,R,NA,FRA,NA,109889,NA,NA,Tim Sturdza,U,NA,SUI,NA,6-3 5-7 6-2,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2010,Paris,Clay,32,A,1971-05-01,6,100057,NA,NA,Pierre Barthes,R,NA,FRA,29.6290212183,106594,NA,NA,Attila Korpas,R,NA,GER,NA,3-6 7-5 6-3,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2010,Paris,Clay,32,A,1971-05-01,7,100235,NA,NA,Antonio Munoz,R,NA,ESP,20.167008898,100274,NA,NA,Eric Deblicker,R,NA,FRA,19.0362765229,6-3 6-0,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2010,Paris,Clay,32,A,1971-05-01,8,109760,NA,NA,Jean Courcol,R,NA,FRA,NA,100077,NA,NA,Daniel Contet,R,NA,FRA,27.4907597536,8-6 6-3,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2010,Paris,Clay,32,A,1971-05-01,9,100185,NA,NA,Patrick Proisy,R,180,FRA,21.6372347707,109821,NA,NA,Jorgen Ulrich,R,NA,DEN,35.6933607118,7-5 8-6,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2010,Paris,Clay,32,A,1971-05-01,10,100071,NA,NA,Jean Claude Barclay,R,NA,FRA,28.334017796,100064,NA,NA,Juan Gisbert,R,NA,ESP,29.0704996578,6-1 6-2,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2010,Paris,Clay,32,A,1971-05-01,11,100126,NA,NA,Stan Smith,R,193,USA,24.3778234086,107436,NA,NA,Jose Guerrero,R,NA,ESP,NA,9-7 6-4,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2010,Paris,Clay,32,A,1971-05-01,12,109771,NA,NA,Jairo Velasco,R,NA,ESP,23.9780971937,109752,NA,NA,Ingo Buding,R,NA,GER,29.3059548255,6-3 6-2,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2010,Paris,Clay,32,A,1971-05-01,13,100025,NA,NA,Barry Phillips Moore,R,173,AUS,33.8097193703,100174,NA,NA,Manuel Orantes,L,178,ESP,22.2286105407,UNK,3,R16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2010,Paris,Clay,32,A,1971-05-01,14,100062,NA,NA,Francois Jauffret,R,180,FRA,29.2210814511,100038,NA,NA,Jaime Pinto Bravo,R,NA,CHI,31.5592060233,6-3 6-4,3,R16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2010,Paris,Clay,32,A,1971-05-01,15,100199,NA,NA,Patrice Dominguez,L,173,FRA,21.2977412731,100160,NA,NA,Georges Goven,R,173,FRA,23.0116358658,6-0 6-4,3,R16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2010,Paris,Clay,32,A,1971-05-01,16,109746,NA,NA,Michele Leclercq,R,NA,FRA,NA,107309,NA,NA,Jean Loup Rouyer,R,NA,FRA,NA,6-1 8-6,3,R16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2010,Paris,Clay,32,A,1971-05-01,17,100057,NA,NA,Pierre Barthes,R,NA,FRA,29.6290212183,100235,NA,NA,Antonio Munoz,R,NA,ESP,20.167008898,6-4 6-4,3,R16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2010,Paris,Clay,32,A,1971-05-01,18,100121,NA,NA,Raymond Moore,R,183,RSA,24.6844626968,109760,NA,NA,Jean Courcol,R,NA,FRA,NA,6-4 6-4,3,R16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2010,Paris,Clay,32,A,1971-05-01,19,100185,NA,NA,Patrick Proisy,R,180,FRA,21.6372347707,100071,NA,NA,Jean Claude Barclay,R,NA,FRA,28.334017796,6-0 3-6 7-5,3,R16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2010,Paris,Clay,32,A,1971-05-01,20,100126,NA,NA,Stan Smith,R,193,USA,24.3778234086,109771,NA,NA,Jairo Velasco,R,NA,ESP,23.9780971937,6-1 6-2,3,R16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2010,Paris,Clay,32,A,1971-05-01,21,100062,NA,NA,Francois Jauffret,R,180,FRA,29.2210814511,100025,NA,NA,Barry Phillips Moore,R,173,AUS,33.8097193703,6-3 6-1 6-2,5,QF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2010,Paris,Clay,32,A,1971-05-01,22,109746,NA,NA,Michele Leclercq,R,NA,FRA,NA,100199,NA,NA,Patrice Dominguez,L,173,FRA,21.2977412731,6-2 6-4 6-3,5,QF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2010,Paris,Clay,32,A,1971-05-01,23,100057,NA,NA,Pierre Barthes,R,NA,FRA,29.6290212183,100121,NA,NA,Raymond Moore,R,183,RSA,24.6844626968,1-6 6-4 6-1 6-2,5,QF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2010,Paris,Clay,32,A,1971-05-01,24,100126,NA,NA,Stan Smith,R,193,USA,24.3778234086,100185,NA,NA,Patrick Proisy,R,180,FRA,21.6372347707,8-6 4-6 6-4 8-6,5,QF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2010,Paris,Clay,32,A,1971-05-01,25,100062,NA,NA,Francois Jauffret,R,180,FRA,29.2210814511,109746,NA,NA,Michele Leclercq,R,NA,FRA,NA,1-6 6-2 4-6 6-3 6-0,5,SF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2010,Paris,Clay,32,A,1971-05-01,26,100126,NA,NA,Stan Smith,R,193,USA,24.3778234086,100057,NA,NA,Pierre Barthes,R,NA,FRA,29.6290212183,6-2 5-7 6-2 6-4,5,SF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2010,Paris,Clay,32,A,1971-05-01,27,100126,NA,NA,Stan Smith,R,193,USA,24.3778234086,100062,NA,NA,Francois Jauffret,R,180,FRA,29.2210814511,6-2 6-4 7-5,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2011,Tehran WCT,Clay,32,A,1971-05-15,1,100087,1,NA,John Newcombe,R,183,AUS,26.9760438056,100134,NA,NA,Roy Barth,R,175,USA,24.1259411362,UNK,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2011,Tehran WCT,Clay,32,A,1971-05-15,2,100081,NA,NA,Charlie Pasarell,R,NA,USA,27.2525667351,100058,NA,NA,Roger Taylor,L,NA,GBR,29.582477755,UNK,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2011,Tehran WCT,Clay,32,A,1971-05-15,3,100100,8,NA,Tony Roche,L,178,AUS,25.993155373,100075,NA,NA,Owen Davidson,L,185,AUS,27.6112251882,6-2 6-0,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2011,Tehran WCT,Clay,32,A,1971-05-15,4,100079,NA,NA,Bill Bowrey,R,NA,AUS,27.3867214237,100144,NA,NA,Robert Lutz,R,180,USA,23.7097878166,2-6 7-6 6-4,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2011,Tehran WCT,Clay,32,A,1971-05-15,5,100029,4,NA,Rod Laver,L,173,AUS,32.7638603696,100067,NA,NA,Frew Mcmillan,R,183,RSA,28.9856262834,6-4 6-1,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2011,Tehran WCT,Clay,32,A,1971-05-15,6,100162,NA,NA,Brian Fairlie,R,NA,NZL,22.9185489391,100090,NA,NA,Dick Crealy,R,NA,AUS,26.6529774127,7-6 7-6,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2011,Tehran WCT,Clay,32,A,1971-05-15,7,100120,NA,NA,Robert Maud,R,180,RSA,24.7556468172,100016,5,NA,Ken Rosewall,R,175,AUS,36.5311430527,UNK,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2011,Tehran WCT,Clay,32,A,1971-05-15,8,100060,NA,NA,Marty Riessen,R,185,USA,29.4428473648,100030,NA,NA,Fred Stolle,R,190,AUS,32.5995893224,6-4 7-5,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2011,Tehran WCT,Clay,32,A,1971-05-15,9,100026,NA,NA,Andres Gimeno,R,185,ESP,33.7796030116,100105,NA,NA,Allan Stone,R,NA,AUS,25.582477755,6-4 6-1,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2011,Tehran WCT,Clay,32,A,1971-05-15,10,100084,6,NA,Tom Okker,R,178,NED,27.2251882272,100011,NA,NA,Torben Ulrich,L,NA,DEN,38.6091718001,7-6 6-3,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2011,Tehran WCT,Clay,32,A,1971-05-15,11,100244,NA,NA,John Alexander,R,190,AUS,19.8631074606,100037,NA,NA,Nikola Pilic,L,NA,CRO,31.7152635181,6-2 6-2,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2011,Tehran WCT,Clay,32,A,1971-05-15,12,100148,NA,NA,Ismail El Shafei,R,NA,EGY,23.4962354552,100055,3,NA,Cliff Drysdale,R,188,RSA,29.9685147159,3-6 6-4 7-6,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2011,Tehran WCT,Clay,32,A,1971-05-15,13,100069,NA,NA,Dennis Ralston,R,188,USA,28.7994524298,100203,NA,NA,Phil Dent,R,183,AUS,21.2457221081,6-2 6-0,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2011,Tehran WCT,Clay,32,A,1971-05-15,14,100022,7,NA,Roy Emerson,R,183,AUS,34.5270362765,100106,NA,NA,Graham Stilwell,R,173,GBR,25.4948665298,6-4 6-2,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2011,Tehran WCT,Clay,32,A,1971-05-15,15,100073,NA,NA,Mark Cox,L,NA,GBR,27.8603696099,100114,NA,NA,Ray Ruffels,R,NA,AUS,25.144421629,6-1 6-2,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2011,Tehran WCT,Clay,32,A,1971-05-15,16,100074,2,NA,Arthur Ashe,R,185,USA,27.8466803559,100047,NA,NA,Bob Carmichael,R,183,AUS,30.861054072600002,6-4 6-2,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2011,Tehran WCT,Clay,32,A,1971-05-15,17,100087,1,NA,John Newcombe,R,183,AUS,26.9760438056,100081,NA,NA,Charlie Pasarell,R,NA,USA,27.2525667351,6-1 7-5,3,R16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2011,Tehran WCT,Clay,32,A,1971-05-15,18,100100,8,NA,Tony Roche,L,178,AUS,25.993155373,100079,NA,NA,Bill Bowrey,R,NA,AUS,27.3867214237,7-6 6-3,3,R16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2011,Tehran WCT,Clay,32,A,1971-05-15,19,100029,4,NA,Rod Laver,L,173,AUS,32.7638603696,100162,NA,NA,Brian Fairlie,R,NA,NZL,22.9185489391,6-1 6-0,3,R16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2011,Tehran WCT,Clay,32,A,1971-05-15,20,100060,NA,NA,Marty Riessen,R,185,USA,29.4428473648,100120,NA,NA,Robert Maud,R,180,RSA,24.7556468172,6-1 6-4,3,R16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2011,Tehran WCT,Clay,32,A,1971-05-15,21,100026,NA,NA,Andres Gimeno,R,185,ESP,33.7796030116,100084,6,NA,Tom Okker,R,178,NED,27.2251882272,UNK,3,R16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2011,Tehran WCT,Clay,32,A,1971-05-15,22,100244,NA,NA,John Alexander,R,190,AUS,19.8631074606,100148,NA,NA,Ismail El Shafei,R,NA,EGY,23.4962354552,6-0 6-4,3,R16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2011,Tehran WCT,Clay,32,A,1971-05-15,23,100022,7,NA,Roy Emerson,R,183,AUS,34.5270362765,100069,NA,NA,Dennis Ralston,R,188,USA,28.7994524298,UNK,3,R16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2011,Tehran WCT,Clay,32,A,1971-05-15,24,100074,2,NA,Arthur Ashe,R,185,USA,27.8466803559,100073,NA,NA,Mark Cox,L,NA,GBR,27.8603696099,7-6 6-2,3,R16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2011,Tehran WCT,Clay,32,A,1971-05-15,25,100087,1,NA,John Newcombe,R,183,AUS,26.9760438056,100100,8,NA,Tony Roche,L,178,AUS,25.993155373,7-6 7-6,3,QF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2011,Tehran WCT,Clay,32,A,1971-05-15,26,100060,NA,NA,Marty Riessen,R,185,USA,29.4428473648,100029,4,NA,Rod Laver,L,173,AUS,32.7638603696,6-4 6-4,3,QF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2011,Tehran WCT,Clay,32,A,1971-05-15,27,100244,NA,NA,John Alexander,R,190,AUS,19.8631074606,100026,NA,NA,Andres Gimeno,R,185,ESP,33.7796030116,4-6 7-6 6-4,3,QF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2011,Tehran WCT,Clay,32,A,1971-05-15,28,100074,2,NA,Arthur Ashe,R,185,USA,27.8466803559,100022,7,NA,Roy Emerson,R,183,AUS,34.5270362765,6-3 6-2,3,QF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2011,Tehran WCT,Clay,32,A,1971-05-15,29,100060,NA,NA,Marty Riessen,R,185,USA,29.4428473648,100087,1,NA,John Newcombe,R,183,AUS,26.9760438056,6-3 7-6,3,SF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2011,Tehran WCT,Clay,32,A,1971-05-15,30,100244,NA,NA,John Alexander,R,190,AUS,19.8631074606,100074,2,NA,Arthur Ashe,R,185,USA,27.8466803559,7-6 6-4,3,SF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2011,Tehran WCT,Clay,32,A,1971-05-15,31,100060,NA,NA,Marty Riessen,R,185,USA,29.4428473648,100244,NA,NA,John Alexander,R,190,AUS,19.8631074606,6-7 6-1 6-3 7-6,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2026,Madrid,Clay,64,A,1971-05-03,254,100374,NA,NA,Javier Soler,L,NA,ESP,16.1067761807,124487,NA,NA,Ernesto Vazquez Barreira,U,NA,ESP,17.4893908282,10-8 7-5,3,R64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2026,Madrid,Clay,64,A,1971-05-03,255,209734,NA,NA,Antonio Solana,U,NA,ESP,NA,209747,NA,NA,Pedro Figar,U,NA,ESP,NA,6-4 8-6,3,R64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2026,Madrid,Clay,64,A,1971-05-03,256,108036,NA,NA,Rafael Ruiz,R,NA,ESP,NA,209746,NA,NA,JL Cue,U,NA,ESP,NA,6-1 6-3,3,R64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2026,Madrid,Clay,64,A,1971-05-03,257,209732,NA,NA,Alberto Riba,U,NA,NA,NA,209745,NA,NA,Ramon Gallardo,U,NA,ESP,NA,6-2 6-2,3,R64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2026,Madrid,Clay,64,A,1971-05-03,258,107457,NA,NA,Juan Ignacio Muntanola,R,NA,ESP,NA,209744,NA,NA,Jose Manuel Villota,U,NA,ESP,NA,6-3 6-3,3,R64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2026,Madrid,Clay,64,A,1971-05-03,259,107425,NA,NA,Jose Moreno,R,NA,ESP,NA,209743,NA,NA,Alberto Comas,U,NA,ESP,NA,6-1 6-3,3,R64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2026,Madrid,Clay,64,A,1971-05-03,260,100118,NA,NA,Ivan Molina,L,NA,COL,24.8788501027,209742,NA,NA,J Griman,U,NA,ESP,NA,6-0 6-2,3,R64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2026,Madrid,Clay,64,A,1971-05-03,261,209731,NA,NA,Antonio Martinez,U,NA,ESP,NA,209741,NA,NA,Luis Moreira,U,NA,BRA,NA,6-3 6-4,3,R64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2026,Madrid,Clay,64,A,1971-05-03,262,100300,NA,NA,Jose Higueras,R,178,ESP,18.1711156742,209740,NA,NA,E Torriente,U,NA,ESP,NA,6-0 6-4,3,R64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2026,Madrid,Clay,64,A,1971-05-03,263,107456,NA,NA,Juan Herrera,R,NA,ESP,NA,209739,NA,NA,Teodoro Gurrea,U,NA,ESP,NA,6-1 6-2,3,R64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2026,Madrid,Clay,64,A,1971-05-03,264,100064,NA,NA,Juan Gisbert,R,NA,ESP,29.0759753593,209738,NA,NA,Pedro Barrios,U,NA,ESP,NA,4-6 6-1 6-3,3,R64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2026,Madrid,Clay,64,A,1971-05-03,265,209733,NA,NA,Ignacio Garcia Atance,U,NA,ESP,NA,209737,NA,NA,Julian Olave,U,NA,ESP,NA,6-2 7-9 7-5,3,R64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2026,Madrid,Clay,64,A,1971-05-03,266,209735,NA,NA,Jose Manuel Dominguez,U,NA,ESP,NA,108198,NA,NA,Salvador Cabeza,R,NA,ESP,NA,6-3 6-4,3,R64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2026,Madrid,Clay,64,A,1971-05-03,267,107429,NA,NA,Jose Castanon,R,NA,ESP,NA,107591,NA,NA,Luis Bruguera,R,NA,ESP,NA,6-3 6-3,3,R64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2026,Madrid,Clay,64,A,1971-05-03,268,209736,NA,NA,Juan Carlos Arroyo,U,NA,ESP,NA,107157,NA,NA,Guy Fritz,R,NA,USA,NA,6-4 6-1,3,R64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2026,Madrid,Clay,64,A,1971-05-03,269,117263,NA,NA,William Alvarez,NA,NA,COL,34.379192334,107436,NA,NA,Jose Guerrero,R,NA,ESP,NA,6-0 6-2,3,R64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2026,Madrid,Clay,64,A,1971-05-03,270,109771,NA,NA,Jairo Velasco,R,NA,ESP,23.9835728953,100064,NA,NA,Juan Gisbert,R,NA,ESP,29.0759753593,6-4 14-12,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2026,Madrid,Clay,64,A,1971-05-03,271,100035,NA,NA,Ion Tiriac,R,NA,ROU,31.9835728953,209736,NA,NA,Juan Carlos Arroyo,U,NA,ESP,NA,6-0 6-0,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2026,Madrid,Clay,64,A,1971-05-03,272,100028,NA,NA,Manuel Santana,R,NA,ESP,32.9801505818,209735,NA,NA,Jose Manuel Dominguez,U,NA,ESP,NA,6-0 6-1,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971-2026,Madrid,Clay,64,A,1971-05-03,273,100119,NA,NA,Ilie Nastase,R,183,ROU,24.7885010267,117263,NA,NA,William Alvarez,NA,NA,COL,34.379192334,6-3 6-4,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
